Type de catégorie,Catégorie Principale,Catégorie,Sous-catégorie
Gestion Locative,Gestion Administrative & Contrats,"Documents, Dossiers & Contrats",Contrats de location
Gestion Locative,Gestion Administrative & Contrats,"Documents, Dossiers & Contrats",États des lieux et inventaires
Gestion Locative,Gestion Administrative & Contrats,"Documents, Dossiers & Contrats",Diagnostics et rapports techniques
Gestion Locative,Gestion Administrative & Contrats,"Documents, Dossiers & Contrats",Dossiers Locataires : Créa/Suivi/Clôture
Gestion Locative,Gestion Administrative & Contrats,"Documents, Dossiers & Contrats",Dossiers Locataires : Candidatures
Gestion Locative,Gestion Administrative & Contrats,"Documents, Dossiers & Contrats",Baux & Contrats : Signature/Renouvellement
Gestion Locative,Gestion Administrative & Contrats,"Documents, Dossiers & Contrats",Baux & Contrats : Résiliation
Gestion Locative,Gestion Administrative & Contrats,"Documents, Dossiers & Contrats",Baux & Contrats : AG Copro
Gestion Locative,Gestion Administrative & Contrats,"Documents, Dossiers & Contrats",Suivi Administratif : Demandes d’info
Gestion Locative,Gestion Administrative & Contrats,Communication et Suivi des Locataires,Gestion des contacts et réclamations
Gestion Locative,Gestion Administrative & Contrats,Communication et Suivi des Locataires,Assistance et service client
Gestion Locative,Gestion Administrative & Contrats,Communication et Suivi des Locataires,Historique des échanges
Gestion Locative,"Finances, Comptabilité & Contentieux",Paiement et Transactions,"Encaissement des loyers (virements, prélèvements, chèques)"
Gestion Locative,"Finances, Comptabilité & Contentieux",Paiement et Transactions,"Suivi des charges locatives (eau, électricité, copropriété)"
Gestion Locative,"Finances, Comptabilité & Contentieux",Paiement et Transactions,"Paiement Loyer : Suivi Encaissements, Relances"
Gestion Locative,"Finances, Comptabilité & Contentieux",Facturation,Émission Factures
Gestion Locative,"Finances, Comptabilité & Contentieux",Facturation,Suivi Transactions
Gestion Locative,"Finances, Comptabilité & Contentieux","Impayés, Recouvrement et Contentieux",Relances automatiques et manuelles
Gestion Locative,"Finances, Comptabilité & Contentieux","Impayés, Recouvrement et Contentieux",Suivi des retards de paiement
Gestion Locative,"Finances, Comptabilité & Contentieux","Impayés, Recouvrement et Contentieux",Procédures de recouvrement
Gestion Locative,"Finances, Comptabilité & Contentieux","Impayés, Recouvrement et Contentieux",Litiges : Réclamations Clients
Gestion Locative,"Finances, Comptabilité & Contentieux","Impayés, Recouvrement et Contentieux",Litiges : Litiges Fournisseurs
Gestion Locative,"Finances, Comptabilité & Contentieux","Impayés, Recouvrement et Contentieux",Recouvrement : Recouvrement Amiable
Gestion Locative,"Finances, Comptabilité & Contentieux","Impayés, Recouvrement et Contentieux",Recouvrement : Recouvrement Judiciaire
Gestion Locative,"Finances, Comptabilité & Contentieux","Impayés, Recouvrement et Contentieux",Suivi Juridique : Dossiers Contentieux
Gestion Locative,"Finances, Comptabilité & Contentieux","Impayés, Recouvrement et Contentieux",Suivi Juridique : Procédures/Médiation
Gestion Locative,"Finances, Comptabilité & Contentieux",Dépôts et Garanties,Suivi des dépôts de garantie
Gestion Locative,"Finances, Comptabilité & Contentieux",Dépôts et Garanties,"Gestion des assurances et garanties (loyers impayés, risques divers)"
Gestion Locative,"Finances, Comptabilité & Contentieux",Comptabilité,Paiement Clients
Gestion Locative,"Finances, Comptabilité & Contentieux",Comptabilité,Règlement Fournisseurs
Gestion Locative,"Finances, Comptabilité & Contentieux",Comptabilité,Clôture Mensuelle
Gestion Locative,"Finances, Comptabilité & Contentieux",Comptabilité,Clôture Annuelle
Gestion Locative,"Maintenance, Travaux & Interventions",Entretien Courant & Réparations,Nettoyage et petites réparations
Gestion Locative,"Maintenance, Travaux & Interventions",Entretien Courant & Réparations,"Vérifications périodiques (sécurité, entretien technique)"
Gestion Locative,"Maintenance, Travaux & Interventions",Entretien Courant & Réparations,"Interventions en plomberie, électricité, chauffage"
